time_AKDT	DHT11_T	DHT11_T	P36_T	SHT31_T	SHT31_H
20181209_045253	21	15	23.17	21.37	22.66
20181209_045303	21	16	23.66	21.37	20.27
20181209_045314	21	16	22.93	21.35	22.06
20181209_045324	21	16	22.77	21.41	22.91
20181209_045334	21	16	25.11	21.42	22.19
20181209_045345	21	15	23.09	21.44	20.82
20181209_045355	21	15	22.61	21.49	23.28
20181209_045405	21	15	23.41	21.52	23.95
20181209_045416	21	16	24.62	21.55	22.48
20181209_045426	21	15	23.01	21.58	24.23
20181209_045436	21	15	23.82	21.59	22.56
20181209_045447	21	15	23.58	21.63	22.94
20181209_045457	21	15	23.82	21.68	20.98
20181209_045507	22	16	23.82	21.70	20.72
20181209_045518	22	16	23.82	21.72	20.17
20181209_045528	22	16	23.58	21.74	19.73
20181209_045538	22	16	23.41	21.76	19.84
20181209_045549	22	15	23.17	21.80	19.68
20181209_045559	22	15	23.90	21.83	19.63
20181209_045609	22	15	23.41	21.84	19.68
20181209_045620	22	15	23.25	21.87	19.60
20181209_045630	22	14	23.82	21.90	22.14
20181209_045640	22	15	23.17	21.90	20.83
20181209_045651	22	15	23.41	21.92	20.05
20181209_045701	22	15	23.25	21.90	23.68
20181209_045711	22	15	23.90	21.93	21.73
20181209_045732	22	15	23.90	21.92	20.78
20181209_045742	22	15	23.09	21.89	21.34
20181209_045752	22	15	23.33	21.92	20.39
20181209_045803	22	15	23.09	21.90	21.73
20181209_045813	22	15	23.58	21.90	21.78
20181209_045823	22	16	23.41	21.92	23.27
20181209_045834	22	15	23.90	21.92	23.31
20181209_045844	22	15	24.22	21.92	23.89
20181209_045854	22	15	23.66	21.92	23.70
20181209_045905	22	15	23.90	21.89	20.99
20181209_045915	22	15	23.41	21.89	21.52
20181209_045925	22	15	23.82	21.90	23.92
20181209_045936	22	16	23.66	21.89	21.47
20181209_045946	22	15	23.90	21.89	20.39
20181209_045956	22	15	23.74	21.89	21.22
20181209_050007	22	16	23.82	21.86	20.42
20181209_050017	22	16	23.58	21.86	20.86
20181209_050027	22	16	23.90	21.86	22.14
20181209_050038	22	16	23.82	21.84	21.70
20181209_050048	22	16	23.09	21.84	21.91
20181209_050058	22	16	23.82	21.89	20.78
20181209_050109	22	16	23.25	21.87	21.16
20181209_050119	22	16	23.25	21.87	22.79
20181209_050129	22	16	23.90	21.84	21.06
20181209_050140	22	15	23.41	21.86	22.15
20181209_050150	22	16	23.58	21.84	22.20
20181209_050200	22	16	23.82	21.84	21.61
20181209_050211	22	16	23.49	21.84	20.61
20181209_050221	22	16	23.58	21.84	21.56
20181209_050231	22	15	23.41	21.86	21.27
20181209_050242	22	16	23.82	21.83	21.97
20181209_050252	22	16	23.25	21.86	21.30
20181209_050302	22	16	23.17	21.87	21.40
20181209_050312	22	16	23.90	21.86	20.76
20181209_050323	22	16	23.90	21.89	22.70
20181209_050333	22	16	23.90	21.86	21.17
20181209_050343	22	16	23.98	21.84	21.19
20181209_050354	22	16	23.66	21.87	20.81
20181209_050404	22	16	23.82	21.87	21.25
20181209_050414	22	16	23.41	21.84	20.75
20181209_050425	22	16	23.25	21.84	21.91
20181209_050435	22	16	23.58	21.86	20.83
20181209_050445	22	16	23.25	21.86	21.24
20181209_050456	22	16	23.58	21.86	20.99
20181209_050516	22	16	23.90	21.86	21.79
20181209_050527	22	16	23.17	21.86	21.24
20181209_050537	22	16	23.58	21.84	21.99
20181209_050547	22	16	23.98	21.87	20.83
20181209_050558	22	16	23.82	21.89	21.34
20181209_050608	22	16	23.90	21.87	20.85
20181209_050618	22	16	23.49	21.86	21.64
20181209_050629	22	16	23.49	21.86	22.14
20181209_050639	22	16	23.25	21.87	20.94
20181209_050649	22	16	23.17	21.84	20.88
20181209_050700	22	16	23.41	21.87	21.16
20181209_050710	22	16	23.49	21.84	21.09
20181209_050720	22	16	23.82	21.84	21.16
20181209_050731	22	16	24.14	21.83	22.17
20181209_050741	22	16	23.33	21.83	20.63
20181209_050751	22	16	23.49	21.86	21.66
20181209_050801	22	17	23.82	21.89	20.38
20181209_050812	22	16	23.82	21.92	22.40
20181209_050822	22	17	23.58	21.96	20.66
20181209_050832	22	16	23.58	21.97	20.94
20181209_050843	22	16	23.58	21.99	20.20
20181209_050853	22	16	23.82	21.99	19.94
20181209_050903	22	15	23.33	22.01	19.53
20181209_050914	22	15	24.22	22.01	21.17
20181209_050924	22	15	23.82	22.01	19.47
20181209_050934	22	14	23.17	22.04	19.44
20181209_050945	22	14	23.25	22.04	21.77
20181209_050955	22	15	22.45	22.10	20.06
20181209_051005	22	15	23.90	22.08	21.09
20181209_051016	22	15	23.82	22.08	20.61
20181209_051026	22	15	24.22	22.08	21.43
20181209_051036	22	15	23.98	22.10	20.04
20181209_051047	22	15	23.82	22.08	20.52
20181209_051057	22	15	23.41	22.08	21.19
20181209_051107	22	15	23.90	22.13	19.96
20181209_051118	22	15	23.58	22.08	21.70
20181209_051128	22	14	23.49	22.08	21.91
20181209_051138	22	14	23.90	22.06	21.30
20181209_051149	22	14	23.82	22.03	21.69
20181209_051159	22	14	23.82	22.01	22.60
20181209_051209	22	14	23.82	21.99	21.08
20181209_051220	22	15	23.90	22.00	22.31
20181209_051230	22	14	23.90	21.97	22.73
20181209_051251	22	14	23.82	21.93	22.44
20181209_051301	22	14	23.82	21.92	21.46
20181209_051311	22	14	23.41	21.87	22.37
20181209_051321	22	14	22.85	21.86	22.30
20181209_051332	22	14	23.17	21.81	21.87
20181209_051342	22	14	23.66	21.79	21.69
20181209_051352	22	14	23.90	21.76	21.49
20181209_051403	22	14	23.25	21.74	21.20
20181209_051413	22	14	23.66	21.73	21.51
20181209_051423	22	14	22.93	21.68	21.94
20181209_051434	22	14	23.01	21.68	22.62
20181209_051444	22	14	23.74	21.65	21.05
20181209_051454	22	14	23.58	21.65	22.29
20181209_051505	22	15	23.01	21.61	22.10
20181209_051515	22	15	23.82	21.58	21.76
20181209_051525	22	15	25.51	21.59	22.56
20181209_051536	21	13	23.82	21.53	21.74
20181209_051546	21	14	23.25	21.51	21.35
20181209_051556	21	14	23.41	21.49	22.15
20181209_051607	21	14	23.41	21.51	22.59
20181209_051617	21	14	23.41	21.46	21.93
20181209_051627	21	14	23.41	21.46	21.98
20181209_051638	21	14	23.41	21.44	21.90
20181209_051648	21	14	23.33	21.41	21.76
20181209_051658	21	14	23.41	21.38	22.22
20181209_051709	21	14	23.66	21.37	22.53
20181209_051719	21	14	23.25	21.35	22.76
20181209_051729	21	14	22.93	21.33	21.25
20181209_051740	21	14	23.58	21.30	21.43
20181209_051750	21	14	24.62	21.31	22.49
20181209_051800	21	14	25.11	21.27	22.70
20181209_051811	21	14	23.17	21.27	22.33
20181209_051821	21	14	23.17	21.24	22.06
20181209_051831	21	14	22.69	21.21	21.08
20181209_051842	21	14	23.33	21.19	21.93
20181209_051852	21	14	22.93	21.21	22.03
20181209_051902	21	14	22.61	21.19	22.42
20181209_051912	21	14	21.72	21.17	22.24
20181209_051923	21	14	23.41	21.15	21.21
20181209_051933	21	14	22.53	21.11	21.91
20181209_051943	21	14	22.61	21.13	21.14
20181209_051954	21	14	23.41	21.17	20.82
20181209_052004	21	15	22.93	21.17	20.92
20181209_052014	21	15	23.17	21.15	20.31
20181209_052035	21	15	22.53	21.24	20.71
20181209_052045	21	15	23.17	21.24	20.12
20181209_052056	21	15	21.88	21.27	21.75
20181209_052106	21	15	22.69	21.27	19.83
20181209_052116	21	15	24.14	21.31	19.65
20181209_052127	21	15	22.53	21.37	20.68
20181209_052137	21	15	23.41	21.40	21.34
20181209_052147	21	15	23.17	21.40	20.16
20181209_052208	21	14	23.25	21.48	20.33
20181209_052218	21	14	23.41	21.51	19.76
20181209_052229	21	14	23.33	21.52	19.57
20181209_052239	21	14	22.61	21.55	19.83
20181209_052249	21	14	22.61	21.58	19.57
20181209_052300	21	14	23.17	21.59	19.58
20181209_052310	22	15	23.01	21.63	19.57
20181209_052320	22	14	23.25	21.65	19.57
